iter	Passed	Remaining
0	1	676
1	3	674
2	4	661
3	6	651
4	8	643
5	9	639
6	11	636
7	12	634
8	14	633
9	16	631
10	17	626
11	19	620
12	21	636
13	23	639
14	24	639
15	26	636
16	28	633
17	29	631
18	31	628
19	33	627
20	34	626
21	36	624
22	37	622
23	39	621
24	41	618
25	42	615
26	44	617
27	46	616
28	48	618
29	49	616
30	51	613
31	53	609
32	54	607
33	56	604
34	57	601
35	59	598
36	60	595
37	62	592
38	63	592
39	65	590
40	67	592
41	69	592
42	71	591
43	72	590
44	74	587
45	75	584
46	77	583
47	79	581
48	81	584
49	83	582
50	85	582
51	86	580
52	88	578
53	90	577
54	92	579
55	94	578
56	95	577
57	97	575
58	99	573
59	101	572
60	102	571
61	104	571
62	106	572
63	108	570
64	110	568
65	112	566
66	114	566
67	116	566
68	117	564
69	119	564
70	121	562
71	123	561
72	124	559
73	126	556
74	127	554
75	129	552
76	131	550
77	133	549
78	134	548
79	136	546
80	138	547
81	141	547
82	142	545
83	144	543
84	146	541
85	147	539
86	149	537
87	151	536
88	189	663
89	191	660
90	193	658
91	195	654
92	197	650
93	198	646
94	207	665
95	208	661
96	210	658
97	212	655
98	214	651
99	216	648
100	217	644
101	219	640
102	220	636
103	222	633
104	224	629
105	225	626
106	227	622
107	229	619
108	230	615
109	232	612
110	234	610
111	236	608
112	238	604
113	239	601
114	241	599
115	243	596
116	245	593
117	247	591
118	249	588
119	250	585
120	252	582
121	254	579
122	256	576
123	258	575
124	260	573
125	262	570
126	263	567
127	265	564
128	267	561
129	268	558
130	270	555
131	272	553
132	274	550
133	276	547
134	277	544
135	279	542
136	281	540
137	284	539
138	286	537
139	287	534
140	289	532
141	291	529
142	293	526
143	294	523
144	296	521
145	297	518
146	299	515
147	301	512
148	303	511
149	305	509
150	307	507
151	309	505
152	311	502
153	313	500
154	315	497
155	316	495
156	318	492
157	319	489
158	321	487
159	323	484
160	324	481
161	326	480
162	328	478
163	330	476
164	332	473
165	334	471
166	335	468
167	337	466
168	339	463
169	340	460
170	342	458
171	343	455
172	345	453
173	346	450
174	348	448
175	350	446
176	352	444
177	354	442
178	356	439
179	357	437
180	359	435
181	361	432
182	362	430
183	364	427
184	366	425
185	367	423
186	369	420
187	370	418
188	372	415
189	374	414
190	376	411
191	378	409
192	379	407
193	381	404
194	382	402
195	384	400
196	386	398
197	388	395
198	389	393
199	391	391
200	392	389
201	394	386
202	396	384
203	398	382
204	400	380
205	401	378
206	403	376
207	405	374
208	407	372
209	408	369
210	410	367
211	412	365
212	413	363
213	415	361
214	417	358
215	418	356
216	420	354
217	422	352
218	424	350
219	425	348
220	427	346
221	428	343
222	430	341
223	432	339
224	433	337
225	435	335
226	437	333
227	438	330
228	440	328
229	441	326
230	443	324
231	445	322
232	447	320
233	448	318
234	450	316
235	451	313
236	453	311
237	455	309
238	456	307
239	458	305
240	459	303
241	461	301
242	463	299
243	464	297
244	466	295
245	467	292
246	469	291
247	471	288
248	473	286
249	474	284
250	476	282
251	478	280
252	479	278
253	481	276
254	482	274
255	484	272
256	485	270
257	487	268
258	488	266
259	490	264
260	492	262
261	494	260
262	496	258
263	498	256
264	499	254
265	501	252
266	503	250
267	504	248
268	506	246
269	507	244
270	509	242
271	511	240
272	512	238
273	514	236
274	516	234
275	518	232
276	519	230
277	521	228
278	522	226
279	524	224
280	525	222
281	527	220
282	529	218
283	530	216
284	532	214
285	534	212
286	535	210
287	537	209
288	539	207
289	540	205
290	542	203
291	544	201
292	545	199
293	547	197
294	549	195
295	550	193
296	552	191
297	553	189
298	555	187
299	556	185
300	558	183
301	560	181
302	561	179
303	563	178
304	565	176
305	566	174
306	568	172
307	569	170
308	571	168
309	573	166
310	574	164
311	576	162
312	577	160
313	579	158
314	581	156
315	582	154
316	584	153
317	586	151
318	588	149
319	589	147
320	591	145
321	592	143
322	594	141
323	595	139
324	597	137
325	599	135
326	600	134
327	602	132
328	603	130
329	605	128
330	606	126
331	608	124
332	610	122
333	612	121
334	613	119
335	615	117
336	617	115
337	618	113
338	620	111
339	622	109
340	623	107
341	625	106
342	627	104
343	628	102
344	630	100
345	631	98
346	633	96
347	635	94
348	637	93
349	638	91
350	640	89
351	642	87
352	643	85
353	645	83
354	646	81
355	648	80
356	649	78
357	651	76
358	653	74
359	654	72
360	656	70
361	658	69
362	660	67
363	661	65
364	663	63
365	665	61
366	666	59
367	668	58
368	669	56
369	671	54
370	673	52
371	674	50
372	676	48
373	677	47
374	679	45
375	681	43
376	683	41
377	684	39
378	686	38
379	688	36
380	689	34
381	691	32
382	692	30
383	694	28
384	695	27
385	697	25
386	699	23
387	700	21
388	702	19
389	704	18
390	706	16
391	707	14
392	709	12
393	711	10
394	712	9
395	714	7
396	715	5
397	717	3
398	718	1
399	720	0
